CTISMILES	_internalID_
CN(Cc1cc2c(cc1OC)ncnc2Nc3cccc(c3F)Cl)C4CCNC4=O	CHEMBL378370
CC(C)(C)OC(=O)N1CCN(CC1)c2ccc(cn2)OCc3ccc(cc3)S(=O)(=O)C	CHEMBL2086654
CN1CCN(CC1)c2ccc(c(c2)OC)Nc3ncc(c(n3)Oc4cccc(c4)NC(=O)C=C)Cl	CHEMBL1229592
c1cc2c(c(c1)Cl)N(C(=O)C2=O)Cc3ccc(cc3F)Br	CHEMBL494846
CCc1ccc(cc1)c2cc(c3ccccc3n2)O	CHEMBL2042444
Cc1ncc(n1C(C)C)c2c(cnc(n2)Nc3ccc(c(c3)F)C(=O)NC)F	CHEMBL455651
Cc1ccc(c(c1)Nc2ccnc(n2)Nc3ccc(cc3)S(=O)(=O)N)F	CHEMBL103355
CC(C)Oc1cc(cc2c1c(ncn2)Nc3c(ccc4c3OCO4)Cl)OCCN5CCOCC5	CHEMBL436968
COC(=O)COc1ccc(cn1)C(=O)Nc2ccc(cc2)F	CHEMBL36643
Cc1cc2c(cc(nc2cc1N)O)C	CHEMBL1968894
Cc1cc(cc(c1)c2c(c3cc(sc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)C(=O)CN6CCN(CC6)CC(=O)N7CCCC7)C	CHEMBL250770
CCOC(=O)c1ccc(cc1)CCN2CCN(CC2)c3ccc(nn3)C	CHEMBL1835908
CN1CCC(CC1)Oc2cc(cc3c2c(ncn3)Nc4c(ccc5c4OCO5)Cl)OCCF	CHEMBL217464
Cc1ccc(cc1N(C)c2ccnc(n2)Nc3cc(cc(c3)N4CCOCC4)N5CCN(CC5)C)CO	CHEMBL1762539
CS(=O)(=O)c1ccc2c(c1)[nH]c3c2CN(CC3)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N	CHEMBL2163349
Cc1ccc(cc1)S(=O)(=O)Nc2c(c(nn2c3ccccc3)C)C(=O)N[C@H](C)C(C)(C)C	CHEMBL1916283
COc1ccc(cc1)c2cc3c(s2)c(cnc3N[C@H]4CCCNC4)C(=O)N	CHEMBL1288009
Cc1c(nc(s1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4(CC4)C#N)C(F)(F)F	CHEMBL2070944
c1ccc(cc1)c2c3ccccn3nc2c4ccc(cc4)C5(CCC5)N	CHEMBL2035020
Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)[C@H](C)CNCCc6ccncc6)C	CHEMBL87785
c1cc(oc1)/C=C/2\C(=O)N(C(=N)S2)c3nccs3	CHEMBL504977
COc1cc(ccc1Nc2ncc(c(n2)c3cnc4n3cccc4)Cl)N5CCNC(=O)C5	CHEMBL1809047
CN(C1CCN(CC1)CCC(c2ccccc2)c3ccccc3)C(=O)Cc4ccc(cc4)Br	CHEMBL180685
c1ccc(c(c1)N)NC(=O)c2ccc(cc2)C3CCN(CC3)Cc4ccc(cc4)C(=O)NC5CC5	CHEMBL409493
CN([C@@H]1CCN(C[C@@H]1F)Cc2ccc(nc2)C(F)(F)F)C(=O)Cc3ccc(cc3)n4cnnn4	CHEMBL2010849
COc1cc2c(cc1OC)ncnc2Nc3cc(ccc3Cl)NC(=O)c4ccccc4	CHEMBL185327
Cc1nc(no1)c2ccc(cc2)CN3CCC(CC3)N(C)C(=O)Cc4ccc(cc4)n5cnnn5	CHEMBL2010841
c1cc(ccc1CNC(=O)C2(CCN(CC2)c3c4cc[nH]c4ncn3)N)Cl	CHEMBL598194
COCCOCCOc1ccc(cc1)c2cc(c(s2)NC(=O)N)C(=O)N	CHEMBL452791
CC(C)C(=O)Nc1ccc(cc1)c2c(c3c(=O)c(cn(c3s2)Cc4c(cccc4F)F)C(=O)c5ccccc5)CN(C)Cc6ccccc6	CHEMBL208812
CC(=CCn1cccc(c1=O)C(=O)Nc2ccc(cc2)OC)C	CHEMBL1429517
