// this file was created using the eMolecule database on 7/27/2014
//type	idx	codeName
lin74	390	*-*-*-*=*-*:*:*
lin74	391	*-*-*=*-*-*
lin74	392	*:*:*-*-*-*-*:
lin74	393	*-*:*:*-*:*:*-*
lin74	394	*=*-*-*-*-*-*-
lin74	395	*=*-*-*-*-*-*=*
lin74	396	*-*:*-*-*-*-*=*
lin74	397	*:*-*-*-*-*:
lin74	398	c-n:c:c
lin74	399	c:c:c:c:o:
lin74	400	*-*-*-*:*-*-*=*
lin74	401	*-*=*-*-*-*
lin74	402	c:c:n:c:s:
lin74	403	C-O-C-c
lin74	404	C-C-C-C-N-
lin74	405	n:o
lin74	406	c:n:o
lin74	407	*-*-*-*-*-*:*-
lin74	408	c:c:c:c:n:
lin74	409	*-*-*:*:*=*
lin74	410	c-c:c:n
lin74	411	*=*-*-*:*:*-*
lin74	412	C=C-C=O
lin74	413	C-n:n:c
lin74	414	c:o:n
lin74	415	c:n:o:c
lin74	416	c:n:c:o
lin74	417	*-*-*:*-*-*:*:*
lin74	418	*-*-*:*-*-*:*
lin74	419	N-C-C-n
lin74	420	*=*-*:*:*-*:*
lin74	421	*=*-*:*:*-*:*:*
lin74	422	c:n:c:n:n:
lin74	423	*=*-*:*:*:*-*:*
lin74	424	*-*-*-*-*:*-*=*
lin74	425	c-c:o
lin74	426	*-*-*-*-*:*=*
lin74	427	C=N
lin74	428	*-*-*:*:*-*-*:*
lin74	429	*-*-*-*-*-*=*-*
lin74	430	N-C-N-c
lin74	431	C-C-C-n
lin74	432	c:c-c:o
lin74	433	*=*-*-*-*-*-
lin74	434	*-*-*:*:*:*=*
lin74	435	C-c:c:s
lin74	436	N-c:s
lin74	437	*-*-*-*-*:*-*:*
lin74	438	N-c:s:c
lin74	439	C=C-C-N
lin74	440	*-*-*-*=*-*-*
lin74	441	*=*:*:*:*:*:*-*
lin74	442	*-*-*-*:*:*=*
lin74	443	*=*:*:*:*:*-*
lin74	444	*-*=*-*-*-*:*
